SOURCE;TARGET;TYPE;ID;LABEL
https://keywordtool.io;https://keywordtool.io/fr;;;keyword
https://ads.google.com;https://ads.google.com/intl/fr_fr/home/tools/keyword-planner/;;;keyword
https://ahrefs.com;https://ahrefs.com/fr/keyword-generator;;;keyword
https://fr.semrush.com;https://fr.semrush.com/analytics/keywordmagic/;;;keyword
https://www.blogdumoderateur.com;https://www.blogdumoderateur.com/tools/google-keyword-planner/;;;keyword
https://www.blogdumoderateur.com;https://www.blogdumoderateur.com/tools/design/polices-ecriture/;;;Police de caractères
https://www.blogdumoderateur.com;https://www.blogdumoderateur.com/tools/whatthefont/;;;Police de caractères
https://www.seoquantum.com;https://www.seoquantum.com/keywords-finder;;;keyword
https://www.wordstream.com;https://www.wordstream.com/keywords;;;keyword
https://cocolyze.com;https://cocolyze.com/fr/keyword-tool-recherche-mots-cles;;;keyword
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/H_(s%C3%A9rie_t%C3%A9l%C3%A9vis%C3%A9e);;;H
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Claude_(empereur_romain);;;Claude
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Claude;;;Claude
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Plus_belle_la_vie;;;Plus belle la vie
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Koh-Lanta;;;Koh Lanta
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Ici_tout_commence;;;Ici tout commence
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Capital;;;Capital
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Pok%C3%A9mon;;;Pokémon
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/The_Voice_:_La_Plus_Belle_Voix;;;The Voice
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Roger;;;Roger
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Roger_(aviation);;;Roger
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Will;;;Will
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Simon_(pr%C3%A9nom);;;Simon
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Sam_(s%C3%A9rie_t%C3%A9l%C3%A9vis%C3%A9e);;;Sam
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Messe;;;Messe
https://fr.wikipedia.org;https://fr.wikipedia.org/wiki/Messe_(musique);;;Messe
