SOURCE;TARGET;TYPE;ID;LABEL
keyword;https://keywordtool.io;;;keyword
keyword;https://ahrefs.com;;;keyword
keyword;https://ads.google.com;;;keyword
keyword;https://ads.google.com;;;keyword
keyword;https://www.blogdumoderateur.com;;;keyword
Police de caractères;https://www.blogdumoderateur.com;;;Police de caractères
Police de caractères;https://www.blogdumoderateur.com;;;Police de caractères
keyword;https://fr.semrush.com;;;keyword
keyword;https://www.1min30.com;;;keyword
keyword;https://cocolyze.com;;;keyword
H;https://fr.wikipedia.org;;;H
Claude;https://fr.wikipedia.org;;;Claude
Claude;https://fr.wikipedia.org;;;Claude
Plus belle la vie;https://fr.wikipedia.org;;;Plus belle la vie
Koh Lanta;https://fr.wikipedia.org;;;Koh Lanta
Demain nous appartient;https://fr.wikipedia.org;;;Demain nous appartient
Ici tout commence;https://fr.wikipedia.org;;;Ici tout commence
Capital;https://fr.wikipedia.org;;;Capital
Pokémon;https://fr.wikipedia.org;;;Pokémon
The Voice;https://fr.wikipedia.org;;;The Voice
Roger;https://fr.wikipedia.org;;;Roger
Roger;https://fr.wikipedia.org;;;Roger
Will;https://fr.wikipedia.org;;;Will
Simon;https://fr.wikipedia.org;;;Simon
Simon;https://fr.wikipedia.org;;;Simon
Turbo;https://fr.wikipedia.org;;;Turbo
Sam;https://fr.wikipedia.org;;;Sam
Messe;https://fr.wikipedia.org;;;Messe
Messe;https://fr.wikipedia.org;;;Messe
En famille;https://fr.wikipedia.org;;;En famille
Access;https://fr.wikipedia.org;;;Access
Un si grand soleil;https://fr.wikipedia.org;;;Un si grand soleil
Eden;https://fr.wikipedia.org;;;Eden
Eden;https://fr.wikipedia.org;;;Eden
Friends;https://fr.wikipedia.org;;;Friends
Scorpion;https://fr.wikipedia.org;;;Scorpion
Scorpion;https://fr.wikipedia.org;;;Scorpion
Top chef;https://fr.wikipedia.org;;;Top chef
Nina;https://fr.wikipedia.org;;;Nina
Rex;https://fr.wikipedia.org;;;Rex
Rex;https://fr.wikipedia.org;;;Rex
Malcolm;https://fr.wikipedia.org;;;Malcolm
Boris;https://fr.wikipedia.org;;;Boris
Boris;https://fr.wikipedia.org;;;Boris
Urgences;https://fr.wikipedia.org;;;Urgences
Desperate Housewives;https://fr.wikipedia.org;;;Desperate Housewives
Medium;https://fr.wikipedia.org;;;Medium
Medium;https://fr.wikipedia.org;;;Medium
Dragon Ball Z;https://fr.wikipedia.org;;;Dragon Ball Z
Sherlock;https://fr.wikipedia.org;;;Sherlock
Zip Zip;https://fr.wikipedia.org;;;Zip Zip
Le Renard;https://fr.wikipedia.org;;;Le Renard
Le Renard;https://fr.wikipedia.org;;;Le Renard
911;https://fr.wikipedia.org;;;911
911;https://fr.wikipedia.org;;;911
HPI;https://fr.wikipedia.org;;;HPI
Halo;https://fr.wikipedia.org;;;Halo
Halo;https://fr.wikipedia.org;;;Halo
Toc Toc ;https://fr.wikipedia.org;;;Toc Toc 
Target;https://fr.wikipedia.org;;;Target
Forever;https://fr.wikipedia.org;;;Forever
Ninjago;https://fr.wikipedia.org;;;Ninjago
Leonardo;https://fr.wikipedia.org;;;Leonardo
Leonardo;https://fr.wikipedia.org;;;Leonardo
Riverdale;https://fr.wikipedia.org;;;Riverdale
Peppa Pig;https://fr.wikipedia.org;;;Peppa Pig
La Flamme;https://fr.wikipedia.org;;;La Flamme
This Is Us;https://fr.wikipedia.org;;;This Is Us
Monk;https://fr.wikipedia.org;;;Monk
Face à face;https://fr.wikipedia.org;;;Face à face
Mask Singer;https://fr.wikipedia.org;;;Mask Singer
Twist;https://fr.wikipedia.org;;;Twist
Bones;https://fr.wikipedia.org;;;Bones
Sacha;https://fr.wikipedia.org;;;Sacha
Chicago Fire;https://fr.wikipedia.org;;;Chicago Fire
Big Bang Theory;https://fr.wikipedia.org;;;Big Bang Theory
Camping Paradis;https://fr.wikipedia.org;;;Camping Paradis
Kiri;https://fr.wikipedia.org;;;Kiri
Sissi;https://fr.wikipedia.org;;;Sissi
Sissi;https://fr.wikipedia.org;;;Sissi
Candice Renoir;https://fr.wikipedia.org;;;Candice Renoir
Doctor Who;https://fr.wikipedia.org;;;Doctor Who
Cannes Festival;https://fr.wikipedia.org;;;Cannes Festival
Cauchemar en cuisine;https://fr.wikipedia.org;;;Cauchemar en cuisine
Cauchemar en cuisine;https://fr.wikipedia.org;;;Cauchemar en cuisine
Mariés au premier regard;https://fr.wikipedia.org;;;Mariés au premier regard
Parlement;https://fr.wikipedia.org;;;Parlement
Parlement;https://fr.wikipedia.org;;;Parlement
Balthazar;https://fr.wikipedia.org;;;Balthazar
Les Simpson;https://fr.wikipedia.org;;;Les Simpson
Clem;https://fr.wikipedia.org;;;Clem
Zouk;https://fr.wikipedia.org;;;Zouk
Totally Spies;https://fr.wikipedia.org;;;Totally Spies
Petit Ours Brun;https://fr.wikipedia.org;;;Petit Ours Brun
Modern Family;https://fr.wikipedia.org;;;Modern Family
The Middle;https://fr.wikipedia.org;;;The Middle
Columbo;https://fr.wikipedia.org;;;Columbo
How I Met Your Mother;https://fr.wikipedia.org;;;How I Met Your Mother
La grande librairie;https://fr.wikipedia.org;;;La grande librairie
Titeuf;https://fr.wikipedia.org;;;Titeuf
Tandem;https://fr.wikipedia.org;;;Tandem
Tandem;https://fr.wikipedia.org;;;Tandem
Les experts;https://fr.wikipedia.org;;;Les experts
Grand hôtel;https://fr.wikipedia.org;;;Grand hôtel
Grey's Anatomy;https://fr.wikipedia.org;;;Grey's Anatomy
Paprika;https://fr.wikipedia.org;;;Paprika
Crimes;https://fr.wikipedia.org;;;Crimes
Crimes;https://fr.wikipedia.org;;;Crimes
Pékin express;https://fr.wikipedia.org;;;Pékin express
Sam le pompier;https://fr.wikipedia.org;;;Sam le pompier
Restos du coeur;https://fr.wikipedia.org;;;Restos du coeur
Capitaine Marleau;https://fr.wikipedia.org;;;Capitaine Marleau
Superstore;https://fr.wikipedia.org;;;Superstore
Je te promets;https://fr.wikipedia.org;;;Je te promets
Court circuit;https://fr.wikipedia.org;;;Court circuit
Tom Sawyer;https://fr.wikipedia.org;;;Tom Sawyer
Infiniti;https://fr.wikipedia.org;;;Infiniti
Hercule Poirot;https://fr.wikipedia.org;;;Hercule Poirot
Hercule Poirot;https://fr.wikipedia.org;;;Hercule Poirot
Automoto;https://fr.wikipedia.org;;;Automoto
Gomorra;https://fr.wikipedia.org;;;Gomorra
Hippocrate;https://fr.wikipedia.org;;;Hippocrate
Hippocrate;https://fr.wikipedia.org;;;Hippocrate
Alex Hugo;https://fr.wikipedia.org;;;Alex Hugo
Yellowstone;https://fr.wikipedia.org;;;Yellowstone
Tracks;https://fr.wikipedia.org;;;Tracks
Buffy contre les vampires;https://fr.wikipedia.org;;;Buffy contre les vampires
Super Nanny;https://fr.wikipedia.org;;;Super Nanny
Cassandre;https://fr.wikipedia.org;;;Cassandre
Cassandre;https://fr.wikipedia.org;;;Cassandre
Ma sorcière bien aimée;https://fr.wikipedia.org;;;Ma sorcière bien aimée
Notre belle famille;https://fr.wikipedia.org;;;Notre belle famille
Notre belle famille;https://fr.wikipedia.org;;;Notre belle famille
Bienvenue chez les Loud;https://fr.wikipedia.org;;;Bienvenue chez les Loud
Envoyé spécial;https://fr.wikipedia.org;;;Envoyé spécial
Football  Coupe de France;https://fr.wikipedia.org;;;Football  Coupe de France
NCIS  Los Angeles;https://fr.wikipedia.org;;;NCIS  Los Angeles
Profilage;https://fr.wikipedia.org;;;Profilage
Why Women Kill;https://fr.wikipedia.org;;;Why Women Kill
Elementary;https://fr.wikipedia.org;;;Elementary
Débat;https://fr.wikipedia.org;;;Débat
La stagiaire;https://fr.wikipedia.org;;;La stagiaire
Les reines du shopping;https://fr.wikipedia.org;;;Les reines du shopping
Sanditon;https://fr.wikipedia.org;;;Sanditon
Sanditon;https://fr.wikipedia.org;;;Sanditon
Pierre Lapin;https://fr.wikipedia.org;;;Pierre Lapin
Pierre Lapin;https://fr.wikipedia.org;;;Pierre Lapin
En thérapie;https://fr.wikipedia.org;;;En thérapie
